,name,distance,mass,discovery_date,planet_type,planet_radius_in_unit,mass_of_hoststar.1,goldilock,gravity
2019,Kepler-1454 b,2593.0,4.19 Earths,2016,Super Earth,0.299,0.99,False,46.86748470375053
2020,Kepler-1455 b,1279.0,5.31 Earths,2016,Neptune-like,0.241,2.06,False,91.4240457292402
2021,Kepler-1456 b,1236.0,1.55 Earths,2016,Super Earth,0.238,0.94,False,27.363886731163056
2022,Kepler-1457 b,2375.0,4.62 Earths,2016,Super Earth,0.168,0.86,False,163.69047619047618
2023,Kepler-1458 b,2094.0,8.05 Earths,2016,Neptune-like,0.193,0.6,False,216.11318424655693
2024,Kepler-1459 b,1419.0,2.42 Earths,2016,Super Earth,0.102,0.62,False,232.60284505959248
2025,Kepler-145 b,1879.0,37.1 Earths,2013,Neptune-like,0.178,1.01,False,1170.9380128771622
2026,Kepler-145 c,1879.0,0.25 Jupiters,2013,Gas Giant,0.246,0.94,False,1312.9585564148324
2027,Kepler-1460 b,1872.0,4.5 Earths,2016,Super Earth,0.121,0.74,False,307.3560549142818
2028,Kepler-1461 b,2453.0,4.78 Earths,2016,Super Earth,0.331,1.21,False,43.62866348426904
2029,Kepler-1462 b,4462.0,14 Earths,2016,Neptune-like,0.279,1.21,False,179.85380455030122
2030,Kepler-1463 b,4374.0,4.12 Earths,2016,Super Earth,0.175,0.67,False,134.53061224489798
2031,Kepler-1464 b,2257.0,3.39 Earths,2016,Super Earth,0.181,0.74,False,103.47669485058456
2032,Kepler-1464 c,2257.0,0.972 Earths,2016,Terrestrial,0.341,1.0,False,8.35906123958342
2033,Kepler-1465 b,1142.0,3.78 Earths,2016,Super Earth,0.166,0.95,False,137.17520685150237
2034,Kepler-1466 b,2238.0,3.02 Earths,2016,Super Earth,0.148,1.01,False,137.87436084733383
2035,Kepler-1467 b,2903.0,10.9 Earths,2016,Neptune-like,0.089,1.01,False,1376.0888776669617
2036,Kepler-1468 b,3686.0,3.64 Earths,2016,Super Earth,0.158,0.71,False,145.80996635154622
2037,Kepler-1468 c,3686.0,1.6 Earths,2016,Super Earth,0.138,1.02,False,84.01596303297626
2038,Kepler-1469 b,4094.0,8.25 Earths,2016,Neptune-like,0.294,0.82,False,95.44634180202696
2039,Kepler-146 b,2387.0,13.3 Earths,2014,Neptune-like,0.154,1.05,False,560.8028335301062
2040,Kepler-146 c,2387.0,9.96 Earths,2014,Neptune-like,0.103,1.05,False,938.8255254972196
2041,Kepler-1470 b,1856.0,1.24 Earths,2016,Super Earth,0.25,0.89,False,19.84
2042,Kepler-1471 b,3454.0,2.57 Earths,2016,Super Earth,0.136,1.47,False,138.94896193771623
2043,Kepler-1472 b,4139.0,4.27 Earths,2016,Super Earth,0.217,1.47,False,90.67935186561616
2044,Kepler-1473 b,2039.0,1.81 Earths,2016,Super Earth,0.095,0.76,False,200.55401662049863
2045,Kepler-1474 b,3960.0,5.31 Earths,2016,Neptune-like,0.126,0.93,False,334.46712018140585
2046,Kepler-1475 b,5591.0,8.85 Earths,2016,Neptune-like,0.17,1.25,False,306.22837370242206
2047,Kepler-1476 b,3973.0,3.43 Earths,2016,Super Earth,0.106,1.09,False,305.2687789248843
2048,Kepler-1477 b,1713.0,1.76 Earths,2016,Super Earth,0.193,1.04,False,47.24959059303605
2049,Kepler-1478 b,4583.0,3.64 Earths,2016,Super Earth,0.261,1.28,False,53.43433008910615
2050,Kepler-1479 b,2019.0,4.01 Earths,2016,Super Earth,0.149,0.96,False,180.6224944822305
2051,Kepler-147 b,3503.0,2.96 Earths,2014,Super Earth,0.105,0.78,False,268.4807256235828
2052,Kepler-147 c,3503.0,6.48 Earths,2014,Neptune-like,0.154,1.06,False,273.23326024624726
2053,Kepler-1480 b,1761.0,3.43 Earths,2016,Super Earth,0.163,0.98,False,129.09782076856487
2054,Kepler-1481 b,1608.0,2.04 Earths,2016,Super Earth,0.161,0.85,False,78.70066741252266
2055,Kepler-1482 b,1442.0,1.01 Earths,2016,Super Earth,0.321,0.85,False,9.801923506177152
2056,Kepler-1483 b,4329.0,2.92 Earths,2016,Super Earth,0.774,0.85,False,4.874172892921766
2057,Kepler-1484 b,3572.0,5.1 Earths,2016,Neptune-like,0.149,0.81,False,229.71938200981936
2058,Kepler-1485 b,1794.0,2.76 Earths,2016,Super Earth,0.11,0.75,False,228.099173553719
2059,Kepler-1486 b,4779.0,5.99 Earths,2016,Neptune-like,0.09,0.84,False,739.5061728395062
2060,Kepler-1487 b,3569.0,5.18 Earths,2016,Neptune-like,0.136,1.4,False,280.0605536332179
2061,Kepler-1488 b,2016.0,4.12 Earths,2016,Super Earth,0.188,0.92,False,116.56858306926212
2062,Kepler-1489 b,2838.0,3.78 Earths,2016,Super Earth,0.131,1.12,False,220.26688421420656
2063,Kepler-148 b,2640.0,3.89 Earths,2014,Super Earth,0.207,1.12,False,90.78391561063268
2064,Kepler-148 c,2640.0,12.6 Earths,2014,Neptune-like,0.19,1.63,False,349.0304709141274
2065,Kepler-148 d,2640.0,0.177 Jupiters,2016,Gas Giant,0.166,1.31,False,2041.4479605167653
2066,Kepler-1490 b,3158.0,9.48 Earths,2016,Neptune-like,0.158,0.9,False,379.746835443038
2067,Kepler-1491 b,4280.0,2.89 Earths,2016,Super Earth,0.376,0.95,False,20.44194205522861
2068,Kepler-1492 b,1210.0,2.83 Earths,2016,Super Earth,0.144,0.95,False,136.47762345679016
2069,Kepler-1493 b,1866.0,2.57 Earths,2016,Super Earth,0.353,0.95,False,20.624513478159685
2070,Kepler-1494 b,3454.0,9.64 Earths,2016,Neptune-like,0.271,0.87,False,131.26182922345828
2071,Kepler-1495 b,4263.0,8.96 Earths,2016,Neptune-like,0.135,0.99,False,491.6323731138546
2072,Kepler-1496 b,4218.0,5.56 Earths,2016,Neptune-like,0.133,0.72,False,314.3196336706427
2073,Kepler-1497 b,3660.0,3.39 Earths,2016,Super Earth,0.126,1.29,False,213.52985638699923
2074,Kepler-1498 b,2414.0,2.33 Earths,2016,Super Earth,0.274,0.94,False,31.035217646118596
2075,Kepler-1499 b,1011.0,1.81 Earths,2016,Super Earth,0.262,1.04,False,26.367927276965208
2076,Kepler-149 b,1894.0,16.5 Earths,2014,Neptune-like,0.198,1.27,False,420.8754208754208
2077,Kepler-149 c,1894.0,3.22 Earths,2014,Super Earth,0.148,0.95,False,147.00511322132948
2078,Kepler-149 d,1894.0,14.9 Earths,2014,Neptune-like,0.119,0.81,True,1052.1855801143988
2079,Kepler-14 b,3197.0,8.4 Jupiters,2011,Gas Giant,0.106,0.78,False,237601.28159487364
2080,Kepler-1500 b,2949.0,1.87 Earths,2016,Super Earth,0.96,0.99,False,2.029079861111111
2081,Kepler-1501 b,2897.0,3.05 Earths,2016,Super Earth,0.112,0.94,False,243.1441326530612
2082,Kepler-1502 b,5023.0,10.2 Earths,2016,Neptune-like,0.329,0.94,False,94.23416265555564
2083,Kepler-1503 b,2773.0,5.77 Earths,2016,Neptune-like,0.249,0.94,False,93.06301511265949
2084,Kepler-1504 b,3357.0,5.18 Earths,2016,Neptune-like,0.278,0.94,False,67.02551627762536
2085,Kepler-1505 b,1171.0,0.749 Earths,2016,Terrestrial,0.325,0.94,False,7.091124260355029
2086,Kepler-1506 b,4299.0,2.3 Earths,2016,Super Earth,0.107,1.0,False,200.89090750283867
2087,Kepler-1507 b,1116.0,0.52 Earths,2016,Terrestrial,0.139,1.3,False,26.913720821903624
2088,Kepler-1508 b,2910.0,2.33 Earths,2016,Super Earth,0.284,1.72,False,28.88811743701647
2089,Kepler-1509 b,4166.0,4.08 Earths,2016,Super Earth,0.203,0.74,False,99.00749836200828
2090,Kepler-150 b,2983.0,2.1 Earths,2014,Super Earth,0.19,0.81,False,58.171745152354575
2091,Kepler-150 c,2983.0,13.2 Earths,2014,Neptune-like,0.083,0.86,False,1916.0981274495568
2092,Kepler-150 d,2983.0,8.2 Earths,2014,Neptune-like,0.118,0.93,False,588.9112324044814
2093,Kepler-150 e,2983.0,9.91 Earths,2014,Neptune-like,0.075,0.85,False,1761.7777777777778
2094,Kepler-150 f,2983.0,12.9 Earths,2017,Neptune-like,0.119,1.22,True,910.952616340654
2095,Kepler-1510 b,5268.0,11.2 Earths,2016,Neptune-like,0.165,0.99,False,411.38659320477495
2096,Kepler-1511 b,2926.0,3.46 Earths,2016,Super Earth,0.273,0.83,False,46.42488158971675
2097,Kepler-1512 b,528.0,1.76 Earths,2016,Super Earth,0.186,0.83,False,50.87293328708521
2098,Kepler-1513 b,1253.0,0.17 Jupiters,2016,Gas Giant,0.3,1.28,False,600.3266666666667
2099,Kepler-1514 b,1236.0,Unknown,2016,Gas Giant,0.15,1.29,False,-1.0
2100,Kepler-1514 c,1236.0,2.3 Earths,2020,Super Earth,0.105,0.67,False,208.61678004535148
2101,Kepler-1515 b,1644.0,0.208 Jupiters,2016,Gas Giant,0.755,0.97,False,115.97133459058811
2102,Kepler-1516 b,2844.0,3.71 Earths,2016,Super Earth,1.055,1.22,False,3.3332584622986907
2103,Kepler-1517 b,2835.0,0.216 Jupiters,2016,Gas Giant,0.118,1.22,False,4930.272910083309
2104,Kepler-1518 b,3719.0,9.53 Earths,2016,Neptune-like,0.852,1.41,False,13.128457757499614
2105,Kepler-1519 b,2799.0,39.6 Earths,2016,Gas Giant,0.156,1.07,False,1627.2189349112427
2106,Kepler-151 b,2160.0,9.59 Earths,2014,Neptune-like,0.871,1.95,False,12.641025201643464
2107,Kepler-151 c,2160.0,5.02 Earths,2014,Super Earth,0.272,1.88,False,67.85250865051901
2108,Kepler-1520 b,2075.0,28.1 Earths,2016,Neptune-like,0.63,0.91,False,70.79868984630889
2109,Kepler-1521 b,740.0,6.8 Earths,2016,Neptune-like,0.249,0.72,False,109.6756503927356
2110,Kepler-1522 b,2251.0,3.64 Earths,2016,Super Earth,0.213,0.72,False,80.23099473208579
2111,Kepler-1523 b,2995.0,3.12 Earths,2016,Super Earth,0.515,0.71,False,11.763596945989256
2112,Kepler-1524 b,1651.0,12.3 Earths,2016,Neptune-like,0.223,0.76,False,247.34058597598988
2113,Kepler-1525 b,1292.0,0.693 Earths,2016,Terrestrial,0.154,0.93,False,29.220779220779217
2114,Kepler-1526 b,1879.0,6.48 Earths,2016,Neptune-like,0.141,0.96,False,325.93933906745144
2115,Kepler-1527 b,5089.0,20.4 Earths,2016,Neptune-like,0.316,1.25,False,204.2941836244192
2116,Kepler-1528 b,2988.0,2.73 Earths,2016,Super Earth,0.081,1.04,False,416.0951074531321
2117,Kepler-1529 b,2228.0,5.06 Earths,2016,Neptune-like,0.217,0.69,False,107.45609377986364
2118,Kepler-152 b,1457.0,8.2 Earths,2014,Neptune-like,0.426,1.32,False,45.18503824197138
2119,Kepler-152 c,1457.0,6.3 Earths,2014,Neptune-like,0.13,1.03,False,372.7810650887574
2120,Kepler-1530 b,1801.0,3.33 Earths,2016,Super Earth,0.187,0.77,False,95.22720123537992
2121,Kepler-1530 c,1801.0,3.36 Earths,2016,Super Earth,0.261,0.89,False,49.32399700532875
2122,Kepler-1531 b,2186.0,1.41 Earths,2016,Super Earth,0.226,0.89,False,27.605920588926303
2123,Kepler-1532 b,2688.0,2.39 Earths,2016,Super Earth,0.146,0.88,False,112.12234940889476
2124,Kepler-1533 b,2779.0,11.8 Earths,2016,Neptune-like,0.147,0.88,False,546.0687676431118
2125,Kepler-1534 b,3611.0,4.23 Earths,2016,Super Earth,0.099,1.27,False,431.5886134067952
2126,Kepler-1535 b,2867.0,7.04 Earths,2016,Neptune-like,0.12,0.88,False,488.8888888888889
2127,Kepler-1536 b,1308.0,10 Earths,2016,Neptune-like,0.309,1.51,False,104.73287879263938
2128,Kepler-1537 b,1641.0,1.76 Earths,2016,Super Earth,0.169,0.86,False,61.62249220965652
2129,Kepler-1538 b,4211.0,8.35 Earths,2016,Neptune-like,0.227,1.11,False,162.04467387296472
2130,Kepler-1539 b,2570.0,7.75 Earths,2016,Neptune-like,0.28,0.67,False,98.85204081632652
2131,Kepler-153 b,1519.0,8.85 Earths,2014,Neptune-like,0.105,0.77,False,802.7210884353742
2132,Kepler-153 c,1519.0,6.94 Earths,2014,Neptune-like,0.252,1.03,False,109.28445452254977
2133,Kepler-1540 b,855.0,6.76 Earths,2016,Neptune-like,0.241,0.8,False,116.38918062705532
2134,Kepler-1541 b,1350.0,1.65 Earths,2016,Super Earth,0.202,1.0,False,40.43721203803548
2135,Kepler-1542 b,1096.0,0.363 Earths,2016,Terrestrial,0.263,1.0,False,5.248015729589844
2136,Kepler-1542 c,1096.0,0.208 Earths,2016,Terrestrial,0.343,1.0,False,1.7679708284813298
2137,Kepler-1542 d,1096.0,0.59 Earths,2016,Terrestrial,0.134,1.0,False,32.85809757184227
2138,Kepler-1542 e,1096.0,0.363 Earths,2016,Terrestrial,0.134,1.0,False,20.21608376030296
2139,Kepler-1543 b,3634.0,7.8 Earths,2016,Neptune-like,0.222,0.69,False,158.2663744825907
2140,Kepler-1544 b,1138.0,3.82 Earths,2016,Super Earth,0.103,0.81,True,360.0716372890942
2141,Kepler-1545 b,2244.0,7.75 Earths,2016,Neptune-like,0.068,0.99,False,1676.0380622837367
2142,Kepler-1546 b,3242.0,9.96 Earths,2016,Neptune-like,0.058,0.99,False,2960.76099881094
2143,Kepler-1547 b,2169.0,0.666 Earths,2016,Terrestrial,0.078,0.99,False,109.46745562130178
2144,Kepler-1548 b,3751.0,7.46 Earths,2016,Neptune-like,0.068,0.99,False,1613.3217993079584
2145,Kepler-1549 b,2584.0,7.13 Earths,2016,Neptune-like,0.242,1.65,False,121.74714841882384
2146,Kepler-154 b,3066.0,5.73 Earths,2014,Neptune-like,0.159,0.74,False,226.65242672362643
2147,Kepler-154 c,3066.0,9.01 Earths,2014,Neptune-like,0.241,0.8,False,155.1281830546995
2148,Kepler-154 d,3066.0,14.1 Earths,2016,Neptune-like,0.279,0.93,False,181.13847458280333
2149,Kepler-154 e,3066.0,2.86 Earths,2016,Super Earth,0.08,1.18,False,446.875
2150,Kepler-154 f,3066.0,2.86 Earths,2016,Super Earth,0.236,0.97,False,51.35018672795174
2151,Kepler-1550 b,3921.0,9.38 Earths,2016,Neptune-like,0.229,0.84,False,178.86767986880494
2152,Kepler-1551 b,5089.0,7.56 Earths,2016,Neptune-like,0.186,0.62,False,218.522372528616
2153,Kepler-1552 b,2016.0,6.66 Earths,2016,Neptune-like,0.2,0.62,False,166.49999999999997
2154,Kepler-1553 b,2345.0,1.6 Earths,2016,Super Earth,0.269,1.11,False,22.11135832838131
2155,Kepler-1554 b,3203.0,8.75 Earths,2016,Neptune-like,0.237,1.22,False,155.7798785807118
2156,Kepler-1555 b,4508.0,3.22 Earths,2016,Super Earth,0.22,0.78,False,66.52892561983472
2157,Kepler-1556 b,3458.0,4.5 Earths,2016,Super Earth,0.103,0.81,False,424.1681591101895
2158,Kepler-1557 b,4997.0,2.96 Earths,2016,Super Earth,0.259,0.81,False,44.125758411472695
2159,Kepler-1558 b,1119.0,0.244 Earths,2016,Terrestrial,0.144,1.06,False,11.766975308641976
2160,Kepler-1559 b,1892.0,0.299 Earths,2016,Terrestrial,0.175,0.95,False,9.76326530612245
2161,Kepler-155 b,966.0,5.02 Earths,2014,Super Earth,0.136,1.17,False,271.41003460207605
2162,Kepler-155 c,966.0,5.65 Earths,2014,Neptune-like,0.061,0.79,False,1518.4090298306908
2163,Kepler-1560 b,1726.0,0.64 Earths,2016,Terrestrial,0.064,0.82,False,156.25
2164,Kepler-1561 b,3239.0,1.32 Earths,2016,Super Earth,0.205,0.81,False,31.409875074360507
2165,Kepler-1562 b,4290.0,12.3 Earths,2016,Neptune-like,0.227,0.81,False,238.7005375613732
2166,Kepler-1563 b,1784.0,0.347 Earths,2016,Terrestrial,0.079,1.02,False,55.6000640922929
2167,Kepler-1564 b,2844.0,2.76 Earths,2016,Super Earth,0.097,1.11,False,293.3361674992029
2168,Kepler-1565 b,2143.0,1.81 Earths,2016,Super Earth,0.317,1.05,False,18.01192170287295
2169,Kepler-1566 b,1667.0,0.418 Earths,2016,Terrestrial,0.067,0.99,False,93.11650701715304
2170,Kepler-1567 b,3999.0,7.9 Earths,2016,Neptune-like,0.131,0.9,False,460.3461336751937
2171,Kepler-1568 b,2880.0,2.24 Earths,2016,Super Earth,0.106,0.73,False,199.35920256318977
2172,Kepler-1569 b,3425.0,3.46 Earths,2016,Super Earth,0.07,0.81,False,706.1224489795917
2173,Kepler-156 b,1465.0,5.9 Earths,2014,Neptune-like,0.244,0.93,False,99.09970438054287
2174,Kepler-156 c,1465.0,7.04 Earths,2014,Neptune-like,0.116,1.19,False,523.1866825208085
2175,Kepler-1570 b,1510.0,1.24 Earths,2016,Super Earth,0.15,1.4,False,55.11111111111112
2176,Kepler-1571 b,2616.0,2.92 Earths,2016,Super Earth,0.118,1.04,False,209.70985349037636
2177,Kepler-1572 b,1957.0,0.779 Earths,2016,Terrestrial,0.2,1.04,False,19.475
2178,Kepler-1573 b,3849.0,1.87 Earths,2016,Super Earth,0.13,1.04,False,110.6508875739645
2179,Kepler-1574 b,4159.0,2.21 Earths,2016,Super Earth,0.095,0.89,False,244.8753462603878
2180,Kepler-1575 b,3817.0,2.27 Earths,2016,Super Earth,0.136,1.39,False,122.72923875432524
2181,Kepler-1576 b,1758.0,1.12 Earths,2016,Super Earth,0.084,0.95,False,158.7301587301587
2182,Kepler-1577 b,1771.0,1.51 Earths,2016,Super Earth,0.107,1.0,False,131.88924796925497
2183,Kepler-1578 b,3314.0,1.12 Earths,2016,Super Earth,0.115,1.08,False,84.68809073724007
2184,Kepler-1579 b,1520.0,0.52 Earths,2016,Terrestrial,0.117,0.92,False,37.98670465337132
2185,Kepler-157 b,2581.0,2.3 Earths,2014,Super Earth,0.093,1.06,False,265.9266967279454
2186,Kepler-157 c,2581.0,5.65 Earths,2014,Neptune-like,0.101,0.74,False,553.8672679149103
2187,Kepler-157 d,2581.0,2.73 Earths,2016,Super Earth,0.093,0.86,False,315.64342698577866
2188,Kepler-1580 b,2844.0,5.1 Earths,2016,Neptune-like,0.075,0.7,False,906.6666666666666
2189,Kepler-1581 b,1445.0,0.437 Earths,2016,Terrestrial,0.189,0.62,False,12.233700064387897
2190,Kepler-1582 b,365.0,2.83 Earths,2016,Super Earth,0.17,0.62,False,97.92387543252592
2191,Kepler-1583 b,1165.0,0.156 Earths,2016,Terrestrial,0.188,2.15,False,4.41376188320507
2192,Kepler-1584 b,4322.0,3.22 Earths,2016,Super Earth,0.071,1.23,False,638.7621503669908
2193,Kepler-1585 b,4139.0,3.86 Earths,2016,Super Earth,0.133,0.3,False,218.2147097065973
2194,Kepler-1586 b,2818.0,2.92 Earths,2016,Super Earth,0.054,0.91,False,1001.3717421124828
2195,Kepler-1587 b,2959.0,2.33 Earths,2016,Super Earth,0.144,1.13,False,112.36496913580248
2196,Kepler-1588 b,2146.0,0.363 Earths,2016,Terrestrial,0.16,0.91,False,14.179687499999998
2197,Kepler-1589 b,4626.0,1.32 Earths,2016,Super Earth,0.136,1.75,False,71.36678200692042
2198,Kepler-158 b,1038.0,5.14 Earths,2014,Neptune-like,0.119,1.22,False,362.9687168985241
2199,Kepler-158 c,1038.0,4.27 Earths,2014,Super Earth,0.068,0.99,False,923.4429065743942
2200,Kepler-1590 b,2936.0,1.55 Earths,2016,Super Earth,0.097,1.25,False,164.7358911680306
2201,Kepler-1591 b,3556.0,2.15 Earths,2016,Super Earth,0.212,0.66,False,47.837308650765394
2202,Kepler-1592 b,4400.0,2.99 Earths,2016,Super Earth,0.304,0.66,False,32.35370498614959
2203,Kepler-1593 b,2463.0,10.2 Earths,2016,Neptune-like,0.102,1.16,True,980.3921568627452
2204,Kepler-1594 b,3588.0,1.2 Earths,2016,Super Earth,0.113,1.16,False,93.9776020048555
2205,Kepler-1595 b,2743.0,2.04 Earths,2016,Super Earth,0.137,1.28,False,108.68986094091318
2206,Kepler-1596 b,3803.0,4.27 Earths,2016,Super Earth,0.283,0.77,False,53.31568629899238
2207,Kepler-1597 b,4094.0,1.2 Earths,2016,Super Earth,0.095,1.08,False,132.96398891966757
2208,Kepler-1598 b,2394.0,0.809 Earths,2016,Terrestrial,0.11,0.8,False,66.85950413223141
2209,Kepler-1599 b,3275.0,3.26 Earths,2016,Super Earth,0.17,0.92,False,112.80276816608992
2210,Kepler-159 b,1232.0,6.26 Earths,2014,Neptune-like,0.095,1.39,False,693.6288088642659
2211,Kepler-159 c,1232.0,11.5 Earths,2014,Neptune-like,0.085,1.09,False,1591.6955017301034
2212,Kepler-15 b,2464.0,0.66 Jupiters,2011,Gas Giant,0.145,0.99,False,9976.751486325804
2213,Kepler-1600 b,3236.0,9.96 Earths,2016,Neptune-like,0.754,0.65,False,17.519295850952304
2214,Kepler-1601 b,2153.0,0.477 Earths,2016,Terrestrial,0.153,1.12,False,20.37677816224529
2215,Kepler-1602 b,2659.0,2.36 Earths,2016,Super Earth,0.335,1.12,False,21.029182445979057
2216,Kepler-1603 b,5712.0,2.21 Earths,2016,Super Earth,,1.12,False,
2217,Kepler-1604 b,1833.0,2.57 Earths,2016,Super Earth,0.279,0.82,False,33.01601983530529
2218,Kepler-1605 b,731.0,1.28 Earths,2016,Super Earth,0.073,1.07,False,240.1951585663352
2219,Kepler-1606 b,2871.0,4.94 Earths,2016,Super Earth,0.12,1.36,True,343.0555555555556
2220,Kepler-1607 b,2398.0,0.721 Earths,2016,Terrestrial,0.115,1.31,False,54.517958412098295
2221,Kepler-1608 b,2714.0,3.64 Earths,2016,Super Earth,0.126,0.76,False,229.2768959435626
2222,Kepler-1609 b,4838.0,5.56 Earths,2016,Neptune-like,0.096,0.82,False,603.2986111111111
2223,Kepler-160 b,3141.0,3.59 Earths,2014,Super Earth,0.185,0.86,False,104.89408327246166
2224,Kepler-160 c,3141.0,13.6 Earths,2014,Neptune-like,0.082,1.21,False,2022.6055919095768
2225,Kepler-160 d,3141.0,0.31463 Jupiters,2020,Gas Giant,0.154,0.72,False,4216.381624219936
2226,Kepler-1610 b,3468.0,3.22 Earths,2016,Super Earth,0.198,1.27,False,82.13447607387002
2227,Kepler-1611 b,2238.0,0.457 Earths,2016,Terrestrial,0.189,0.81,False,12.793594804176816
2228,Kepler-1612 b,2730.0,1.08 Earths,2016,Super Earth,0.183,0.81,False,32.24939532383768
2229,Kepler-1613 b,2789.0,4.98 Earths,2016,Super Earth,0.144,0.87,False,240.1620370370371
2230,Kepler-1614 b,3203.0,2.83 Earths,2016,Super Earth,0.072,0.93,False,545.9104938271606
2231,Kepler-1615 b,3066.0,4.9 Earths,2016,Super Earth,0.092,0.94,False,578.9224952741022
2232,Kepler-1616 b,2812.0,1.04 Earths,2016,Super Earth,0.186,1.12,False,30.06127876055035
2233,Kepler-1617 b,2652.0,1.87 Earths,2016,Super Earth,0.133,0.76,False,105.71541636044998
2234,Kepler-1618 b,4038.0,2.13 Earths,2016,Super Earth,0.184,1.05,False,62.913516068052935
2235,Kepler-1619 b,1696.0,0.363 Earths,2016,Terrestrial,0.091,1.34,False,43.83528559352735
2236,Kepler-161 b,1436.0,12.1 Earths,2014,Super Earth,0.107,1.22,False,1056.860861210586
2237,Kepler-161 c,1436.0,11.8 Earths,2014,Super Earth,0.112,1.65,False,940.688775510204
2238,Kepler-1620 b,2522.0,3.22 Earths,2016,Super Earth,0.068,1.0,False,696.3667820069204
2239,Kepler-1621 b,4766.0,5.31 Earths,2016,Neptune-like,0.112,0.96,False,423.30994897959175
2240,Kepler-1622 b,3024.0,2.76 Earths,2016,Super Earth,0.27,0.96,False,37.86008230452674
2241,Kepler-1623 b,3216.0,2.27 Earths,2016,Super Earth,0.144,1.23,False,109.47145061728396
2242,Kepler-1624 b,649.0,27.6 Earths,2016,Neptune-like,0.193,1.24,False,740.9594888453381
2243,Kepler-1625 b,3957.0,30.6 Earths,2016,Neptune-like,0.131,1.5,False,1783.112872210244
2244,Kepler-1626 b,5604.0,4.74 Earths,2016,Super Earth,0.117,1.0,False,346.26342318650006
2245,Kepler-1627 b,1014.0,13.2 Earths,2016,Neptune-like,0.509,0.47,False,50.949317008966304
2246,Kepler-1628 b,1148.0,33.8 Earths,2016,Neptune-like,0.541,0.94,False,115.4840936036162
2247,Kepler-1629 b,1272.0,0.381 Earths,2016,Terrestrial,0.18,1.85,False,11.75925925925926
2248,Kepler-162 b,2861.0,2.13 Earths,2014,Super Earth,0.329,0.84,False,19.678310436895444
2249,Kepler-162 c,2861.0,9.43 Earths,2014,Neptune-like,0.574,0.52,False,28.62120457939274
2250,Kepler-1630 b,907.0,5.43 Earths,2016,Neptune-like,0.069,1.01,False,1140.5166981726527
2251,Kepler-1631 b,3882.0,2.39 Earths,2016,Super Earth,0.094,0.92,False,270.48438207333635
2252,Kepler-1632 b,1905.0,6.66 Earths,2016,Neptune-like,0.202,0.92,False,163.2192922262523
2253,Kepler-1633 b,2645.0,3.12 Earths,2016,Super Earth,0.195,0.63,False,82.05128205128204
2254,Kepler-1634 b,2133.0,10.3 Earths,2016,Neptune-like,0.12,0.95,False,715.2777777777778
2255,Kepler-1635 b,3536.0,12.9 Earths,2016,Neptune-like,0.22,1.19,False,266.52892561983475
2256,Kepler-1636 b,5112.0,10.5 Earths,2016,Neptune-like,0.141,1.32,False,528.1424475629999
2257,Kepler-1637 b,1651.0,0.64 Earths,2016,Terrestrial,0.285,0.89,False,7.879347491535858
2258,Kepler-1638 b,2867.0,4.16 Earths,2016,Super Earth,0.325,0.85,True,39.38461538461538
2259,Kepler-1639 b,3810.0,7.18 Earths,2016,Neptune-like,0.288,1.02,False,86.56442901234568
2260,Kepler-163 b,2295.0,1.16 Earths,2014,Super Earth,0.079,1.02,False,185.8676494151578
2261,Kepler-163 c,2295.0,5.73 Earths,2014,Neptune-like,0.167,0.95,False,205.45734877550288
2262,Kepler-1640 b,4498.0,20.7 Earths,2016,Neptune-like,0.23,1.18,False,391.3043478260869
2263,Kepler-1641 b,3135.0,9.85 Earths,2016,Neptune-like,0.126,1.15,False,620.4333585285965
2264,Kepler-1641 c,3135.0,9.01 Earths,2016,Neptune-like,0.244,1.15,False,151.33700618113411
2265,Kepler-1642 b,1458.0,10.3 Earths,2016,Neptune-like,0.219,1.15,False,214.7578240653865
2266,Kepler-1642 c,1458.0,7.56 Earths,2016,Neptune-like,0.43,1.43,False,40.8869659275284
2267,Kepler-1643 b,1350.0,5.9 Earths,2016,Neptune-like,0.277,1.19,False,76.89400357100965
2268,Kepler-1644 b,1931.0,4.19 Earths,2016,Super Earth,0.263,1.19,False,60.57626971620234
2269,Kepler-1645 b,2753.0,3.82 Earths,2016,Super Earth,0.285,0.84,False,47.02985534010465
2270,Kepler-1646 b,264.0,2.04 Earths,2016,Super Earth,0.237,0.84,False,36.31896597767452
2271,Kepler-1647 b,4097.0,1.51968 Jupiters,2016,Gas Giant,0.205,0.88,False,11492.79470791196
2272,Kepler-1649 b,302.0,1.03 Earths,2017,Super Earth,0.168,0.86,False,36.4937641723356
2273,Kepler-1649 c,302.0,1.2 Earths,2020,Super Earth,0.159,1.02,False,47.46647680075946
2274,Kepler-164 b,2982.0,2.57 Earths,2014,Super Earth,0.11,0.26,False,212.396694214876
2275,Kepler-164 c,2982.0,7.9 Earths,2014,Neptune-like,1.059,1.79,False,7.044256657045461
2276,Kepler-164 d,2982.0,6.57 Earths,2014,Neptune-like,0.091,0.23,False,793.3824417340901
2277,Kepler-1650 b,393.0,0.84 Earths,2017,Terrestrial,0.095,0.23,False,93.0747922437673
2278,Kepler-1651 b,226.0,4.04 Earths,2017,Super Earth,0.207,0.77,False,94.2845807370067
2279,Kepler-1652 b,822.0,3.19 Earths,2017,Super Earth,0.199,0.77,False,80.55352137572282
2280,Kepler-1653 b,2463.0,5.35 Earths,2017,Neptune-like,0.086,0.33,True,723.3639805300163
