,name,distance,mass,luminocity,discovery_date,planet_type,orbital_radius,planet_hoststar_name,planet_letter,planet_name,planet_discovery_method,planet_existance_in_question,num_of_planets_in_system,planet_orbital_period,planet_orbital_period_error1,planet_orbital_period_error2,planet_minimum_orbital_period,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,planet_maximum_limit_orbtial_period,planet_eccentricity,planet_eccentricity_error1,planet_eccentricity_error2,planet_eccentricity_limit,planet_orbital_inclination,planet_orbital_inclination_error1,planet_orbital_inclination_error2,planet_min_orbital_inclination,mass_in_kg,mass_in_unit_error1,mass_in_unit_error2,minimum_mass_in_unit,mass_unit,planet_radius_in_unit,planet_radius_in_unit_error1,planet_radius_in_unit_error2,minimum_planet_radius_in_unit,planet_density,planet_density_error1,planet_density_error2,minimum_planet_density,planet_orbital_inclination_compared_to_others,kepler_telescope_data,k2_telescope_data,num_of_notes,right_ascension_east_n_west_base60,right_ascension_east_n_west_base10,right_ascension_north_n_south_base60,right_ascension_north_n_south_base10,steller_distance,steller_distance_error1,steller_distance_error2,minimum_steller_distance,dist_from_gaia_paralax,dist_from_gaia_paralax_error1,dist_from_gaia_paralax_error2,minimum_dist_from_gaia_paralax,steller_magnitude,steller_magnitude_error,minimum_steller_magnitude,steller_optical_magnitude_band,photometric_visibility,photometric_visibility_error,photometric_visibility_magnitude,temperature_of_hoststar,temperature_of_hoststar_error1,temperature_of_hoststar_error2,minimum_temperature_of_hoststar,mass_of_hoststar,mass_of_hoststar_error1,mass_of_hoststar_error2,minimum_mass_of_hoststar,mass_of_hoststar.1,radius_of_hoststar_error1,radius_of_hoststar_error2,minimum_radius_of_hoststar,date_of_last_update,observer,gravity,suitable_type,goldilock,suitable_speed
984,HIP 54373 b,61.0,862 Earths,10.38,2019,Neptune-like,0.063 AU,HIP 54373,b,hip 54373 b,Radial Velocity,0,2,7.76,0.003,-0.003,0.0,0.063,0.001,-0.001,0.0,0.2,0.11,-0.11,0.0,,,,,0.02712,0.00579,-0.00579,0.0,Msini,,,,,,,,,0,0,0,0,11h07m27.70s,166.865433,-19d17m29.4s,-19.291489,18.73,,,0.0,18.73,0.02,-0.02,0.0,10.38,0.0,0.0,V (Johnson),,,,4021.0,226.0,-146.0,0.0,0.57,0.03,-0.03,0.0,,,,,2019-05-23,Las Campanas Observatory,-1.0,False,False,False
985,HIP 54373 c,61.0,1244 Earths,10.38,2019,Neptune-like,0.099 AU,HIP 54373,c,hip 54373 c,Radial Velocity,0,2,15.144,0.008,-0.008,0.0,0.099,0.002,-0.002,0.0,0.2,0.12,-0.12,0.0,,,,,0.03914,0.00664,-0.00664,0.0,Msini,,,,,,,,,0,0,0,0,11h07m27.70s,166.865433,-19d17m29.4s,-19.291489,18.73,,,0.0,18.73,0.02,-0.02,0.0,10.38,0.0,0.0,V (Johnson),,,,4021.0,226.0,-146.0,0.0,0.57,0.03,-0.03,0.0,,,,,2019-05-23,Las Campanas Observatory,-1.0,False,False,False
986,HIP 57274 b,84.0,63566 Earths,8.98,2011,Neptune-like,0.07 AU,HIP 57274,b,hip 57274 b,Radial Velocity,0,3,8.1352,0.004,-0.004,0.0,0.07,0.0,0.0,0.0,0.19,0.1,-0.1,0.0,,,,,0.02,0.01,-0.01,0.0,Msini,,,,,,,,,0,0,0,1,11h44m40.96s,176.170685,+30d57m33.5s,30.959293,25.88,0.03,-0.03,0.0,25.88,0.03,-0.03,0.0,8.98,0.04,0.0,V (Johnson),8.571,,0.0,4510.0,136.0,-136.0,0.0,0.29,0.3,-0.3,0.0,0.78,0.05,-0.05,0.0,2018-09-06,W. M. Keck Observatory,-1.0,False,False,False
987,HIP 57274 c,84.0,12999816.398759998 Earths,8.98,2011,Gas Giant,0.178 AU,HIP 57274,c,hip 57274 c,Radial Velocity,0,3,32.03,0.02,-0.02,0.0,0.178,,,0.0,0.05,0.02,-0.02,0.0,,,,,0.40902,0.00944,-0.00944,0.0,Msini,,,,,,,,,0,0,0,0,11h44m40.96s,176.170685,+30d57m33.5s,30.959293,25.88,0.03,-0.03,0.0,25.88,0.03,-0.03,0.0,8.98,0.04,0.0,V (Johnson),8.571,,0.0,4510.0,136.0,-136.0,0.0,0.29,0.3,-0.3,0.0,0.78,0.05,-0.05,0.0,2015-04-24,W. M. Keck Observatory,-1.0,False,False,False
988,HIP 57274 d,84.0,1674002.0774599998 Earths,8.98,2011,Gas Giant,1.01 AU,HIP 57274,d,hip 57274 d,Radial Velocity,0,3,431.7,8.5,-8.5,0.0,1.01,,,0.0,0.27,0.05,-0.05,0.0,,,,,0.5267,0.03,-0.03,0.0,Msini,,,,,,,,,0,0,0,0,11h44m40.96s,176.170685,+30d57m33.5s,30.959293,25.88,0.03,-0.03,0.0,25.88,0.03,-0.03,0.0,8.98,0.04,0.0,V (Johnson),8.571,,0.0,4510.0,136.0,-136.0,0.0,0.29,0.3,-0.3,0.0,0.78,0.05,-0.05,0.0,2015-03-26,W. M. Keck Observatory,-1.0,False,True,False
989,HIP 63242 b,513.0,291766.45284 Earths,6.871,2013,Gas Giant,0.565 AU,HIP 63242,b,hip 63242 b,Radial Velocity,0,1,124.6,,,0.0,0.565,,,0.0,0.23,,,0.0,,,,,9.18,,,0.0,Msini,,,,,,,,,0,0,0,0,12h57m31.96s,194.383163,-65d38m47.3s,-65.646461,157.16,0.7,-0.7,0.0,157.16,0.7,-0.7,0.0,6.871,0.01,0.0,V (Johnson),6.565,,0.0,4830.0,100.0,-100.0,0.0,1.54,0.05,-0.05,0.0,,,,,2014-05-14,Multiple Observatories,-1.0,False,True,False
990,HIP 65407 b,181.0,136030.54664 Earths,9.42,2016,Gas Giant,0.177 AU,HIP 65 A,b,hip 65 a b,Transit,0,1,0.9809734,3.1e-06,-3.1e-06,0.0,0.01782,0.0002,-0.00021,0.0,0.0,,,0.0,77.18,0.92,-1.0,0.0,3.213,0.078,-0.078,0.0,Mass,2.03,0.61,-0.49,0.0,0.48,0.61,-0.26,0.0,0,0,0,0,00h00m44.56s,0.185667,-54d49m50.93s,-54.830814,61.89,0.08,-0.08,0.0,61.9,0.08,-0.08,0.0,11.13,0.065,0.0,V (Johnson),10.59,,0.0,4590.0,49.0,-49.0,0.0,0.78,0.03,-0.03,0.0,0.72,0.01,-0.01,0.0,2020-07-23,Transiting Exoplanet Survey Satellite (TESS),8992169.515925635,False,False,False
991,HIP 65407 c,181.0,249177.44991999998 Earths,9.42,2016,Gas Giant,0.316 AU,HIP 65407,b,hip 65407 b,Radial Velocity,0,2,28.125,0.019,-0.019,0.0,0.177,0.005,-0.005,0.0,0.14,0.07,-0.07,0.0,,,,,0.428,0.032,-0.032,0.0,Msini,,,,,,,,,0,0,0,0,13h24m21.04s,201.087662,+48d53m06.3s,48.885094,55.5,4.6,-4.6,0.0,61.89,0.11,-0.11,0.0,9.42,0.02,0.0,V (Johnson),9.151,,0.0,5460.0,50.0,-50.0,0.0,0.93,0.07,-0.07,0.0,,,,,2016-02-25,Haute-Provence Observatory,-1.0,False,False,False
992,HIP 65426 b,363.0,2860.45542 Earths,6.982,2017,Gas Giant,92.0 AU,HIP 65407,c,hip 65407 c,Radial Velocity,0,2,67.3,0.08,-0.08,0.0,0.316,0.008,-0.008,0.0,0.12,0.04,-0.04,0.0,,,,,0.784,0.054,-0.054,0.0,Msini,,,,,,,,,0,0,0,0,13h24m21.04s,201.087662,+48d53m06.3s,48.885094,55.5,4.6,-4.6,0.0,61.89,0.11,-0.11,0.0,9.42,0.02,0.0,V (Johnson),9.151,,0.0,5460.0,50.0,-50.0,0.0,0.93,0.07,-0.07,0.0,,,,,2016-02-25,Haute-Provence Observatory,-1.0,False,False,False
993,HIP 65891 b,444.0,1906.97028 Earths,6.75,2015,Gas Giant,2.81 AU,HIP 65426,b,hip 65426 b,Imaging,0,1,,,,,92.0,,,0.0,,,,,,,,,9.0,3.0,-3.0,0.0,Mass,1.5,0.1,-0.1,0.0,,,,,0,0,0,1,13h24m36.10s,201.150406,-51d30m16.1s,-51.504459,111.4,3.8,-3.8,0.0,109.21,0.75,-0.75,0.0,6.982,0.01,0.0,V (Johnson),6.983,,0.0,8840.0,200.0,-200.0,0.0,1.96,0.04,-0.04,0.0,1.77,0.05,-0.05,0.0,2017-07-13,Paranal Observatory,230877.453945034,False,False,False
994,HIP 65 A b,202.0,1021182.58494 Earths,11.13,2020,Gas Giant,0.01782 AU,HIP 65891,b,hip 65891 b,Radial Velocity,0,1,1084.5,23.2,-23.2,0.0,2.81,0.09,-0.09,0.0,0.13,0.05,-0.05,0.0,,,,,6.0,0.49,-0.49,0.0,Msini,,,,,,,,,0,0,0,0,13h30m25.27s,202.605301,-58d39m51.7s,-58.664356,136.05,12.09,-10.27,0.0,150.95,0.65,-0.65,0.0,6.75,,0.0,V (Johnson),6.479,,0.0,5000.0,100.0,-100.0,0.0,2.5,0.21,-0.21,0.0,8.93,1.02,-1.02,0.0,2015-06-04,Multiple Observatories,-1.0,False,False,True
995,HIP 67522 b,415.0,72464.87064 Earths,9.802,2020,Gas Giant,Unknown,HIP 67522,b,hip 67522 b,Transit,0,1,6.959503,1.6e-05,-1.5e-05,0.0,,,,0.0,0.059,0.193,-0.046,0.0,89.34,0.45,-0.54,0.0,,,,0.0,,0.898,0.042,-0.042,0.0,,,,0.0,0,0,0,0,13h50m06.28s,207.526169,-40d50m08.9s,-40.8358,127.27,1.1,-1.08,0.0,127.73,1.1,-1.1,0.0,9.802,0.029,0.0,V (Johnson),9.633,,0.0,5675.0,75.0,-75.0,0.0,1.22,0.05,-0.05,0.0,1.38,0.06,-0.06,0.0,2020-07-23,Transiting Exoplanet Survey Satellite (TESS),24479072.91171721,False,False,False
996,HIP 67537 b,367.0,35278.95018 Earths,6.44,2017,Gas Giant,4.91 AU,HIP 67537,b,hip 67537 b,Radial Velocity,0,1,2556.5,99.2,-94.9,0.0,4.91,0.14,-0.13,0.0,0.59,0.05,-0.02,0.0,,,,,11.1,0.4,-1.1,0.0,Msini,,,,,,,,,0,0,0,0,13h50m19.40s,207.580826,-39d54m03.1s,-39.900856,112.6,5.8,-5.8,0.0,116.43,0.65,-0.65,0.0,6.44,0.005,0.0,V (Johnson),6.165,,0.0,4985.0,100.0,-100.0,0.0,2.41,0.16,-0.16,0.0,8.69,0.88,-0.88,0.0,2017-04-27,Multiple Observatories,-1.0,False,False,False
997,HIP 67851 b,215.0,43860.316439999995 Earths,6.17,2015,Gas Giant,0.46 AU,HIP 67851,b,hip 67851 b,Radial Velocity,0,2,88.9,0.1,-0.1,0.0,0.46,0.02,-0.02,0.0,0.05,0.04,-0.04,0.0,,,,,1.38,0.15,-0.15,0.0,Msini,,,,,,,,,0,0,0,0,13h53m52.06s,208.466919,-35d18m51.7s,-35.314362,65.96,1.74,-1.65,0.0,64.24,0.17,-0.17,0.0,6.17,,0.0,V (Johnson),5.882,,0.0,4890.0,100.0,-100.0,0.0,1.63,0.22,-0.22,0.0,5.92,0.44,-0.44,0.0,2015-06-04,Multiple Observatories,-1.0,False,True,False
998,HIP 67851 c,215.0,20023.18794 Earths,6.17,2015,Gas Giant,3.82 AU,HIP 67851,c,hip 67851 c,Radial Velocity,0,2,2131.8,88.3,-88.3,0.0,3.82,0.23,-0.23,0.0,0.17,0.06,-0.06,0.0,,,,,5.98,0.76,-0.76,0.0,Msini,,,,,,,,,0,0,0,0,13h53m52.06s,208.466919,-35d18m51.7s,-35.314362,65.96,1.74,-1.65,0.0,64.24,0.17,-0.17,0.0,6.17,,0.0,V (Johnson),5.882,,0.0,4890.0,100.0,-100.0,0.0,1.63,0.22,-0.22,0.0,5.92,0.44,-0.44,0.0,2015-06-04,Multiple Observatories,-1.0,False,False,False
999,HIP 70849 b,79.0,2860.45542 Earths,10.36,2009,Gas Giant,20.25 AU,HIP 70849,b,hip 70849 b,Radial Velocity,0,1,17337.5,15512.5,-15512.5,0.0,20.25,15.75,-15.75,0.0,0.715,0.245,-0.245,0.0,,,,,9.0,6.0,-6.0,0.0,Msini,,,,,,,,,0,0,0,0,14h29m18.56s,217.327347,-46d27m49.7s,-46.463818,24.07,0.02,-0.02,0.0,24.07,0.02,-0.02,0.0,10.36,,0.0,V (Johnson),9.698,,0.0,4105.0,130.0,-130.0,0.0,0.63,0.03,-0.03,0.0,,,,,2014-05-14,La Silla Observatory,-1.0,False,False,False
1000,HIP 71135 b,106.0,188 Earths,10.542,2019,Neptune-like,0.335 AU,HIP 71135,b,hip 71135 b,Radial Velocity,0,1,87.19,0.381,-0.381,0.0,0.335,0.007,-0.007,0.0,0.21,0.13,-0.13,0.0,,,,,0.05915,0.0129,-0.0129,0.0,Msini,,,,,,,,,0,0,0,0,14h32m52.22s,218.21759,-52d38m46.6s,-52.646271,32.36,,,0.0,32.36,0.05,-0.05,0.0,10.542,0.052,0.0,V (Johnson),,,,4146.0,107.0,-110.0,0.0,0.66,0.04,-0.04,0.0,,,,,2019-05-23,Las Campanas Observatory,-1.0,False,False,False
1001,HIP 74890 b,298.0,7627.88112 Earths,7.05,2016,Gas Giant,2.1 AU,HIP 74890,b,hip 74890 b,Radial Velocity,0,1,822.3,16.8,-16.8,0.0,2.1,0.09,-0.09,0.0,0.07,0.07,-0.07,0.0,,,,,2.4,0.3,-0.3,0.0,Msini,,,,,,,,,0,0,0,0,15h18m17.33s,229.572205,-41d25m14.1s,-41.42057,91.49,5.27,-5.27,0.0,78.83,0.26,-0.26,0.0,7.05,,0.0,V (Johnson),6.752,,0.0,4850.0,100.0,-100.0,0.0,1.74,0.21,-0.21,0.0,5.77,0.53,-0.53,0.0,2016-03-17,Multiple Observatories,-1.0,False,False,False
1002,HIP 78530 b,511.0,7310.052739999999 Earths,7.192,2010,Gas Giant,740.0 AU,HIP 78530,b,hip 78530 b,Imaging,0,1,,,,,740.0,60.0,-60.0,0.0,,,,,,,,,23.0,1.0,-1.0,0.0,Mass,,,,,,,,,0,0,0,0,16h01m55.46s,240.481064,-21d58m49.4s,-21.980389,156.7,13.0,-13.0,0.0,,,,,7.192,0.011,0.0,V (Johnson),,,,10500.0,,,0.0,2.5,,,0.0,,,,,2015-04-01,Gemini Observatory,-1.0,False,False,False
1003,HIP 79098 AB b,477.0,65154.817899999995 Earths,5.86,2019,Gas Giant,345.0 AU,HIP 79098 AB,b,hip 79098 ab b,Imaging,0,1,,,,,345.0,6.0,-6.0,0.0,,,,,,,,,20.5,4.5,-4.5,0.0,Mass,,,,,,,,,0,0,0,0,16h08m43.72s,242.182175,-23d41m07.5s,-23.685415,146.3,2.5,-2.5,0.0,146.33,2.52,-2.52,0.0,5.86,0.01,0.0,V (Johnson),5.826,,0.0,,,,,3.75,1.25,-1.25,0.0,,,,,2019-07-11,Paranal Observatory,-1.0,False,False,False
1004,HIP 79431 b,47.0,6674.395979999999 Earths,11.34,2009,Gas Giant,0.36 AU,HIP 79431,b,hip 79431 b,Radial Velocity,0,1,111.7,0.7,-0.7,0.0,0.36,,,0.0,0.29,0.02,-0.02,0.0,,,,,2.1,,,0.0,Msini,,,,,,,,,0,0,0,0,16h12m41.77s,243.174057,-18d52m31.8s,-18.875504,14.54,0.03,-0.03,0.0,14.54,0.03,-0.03,0.0,11.34,,0.0,V (Johnson),10.235,,0.0,3368.0,,,0.0,0.42,,,0.0,0.54,,,0.0,2019-01-31,W. M. Keck Observatory,-1.0,False,False,False
1005,HIP 8541 b,550.0,17480.5609 Earths,7.88,2016,Gas Giant,2.8 AU,HIP 8541,b,hip 8541 b,Radial Velocity,0,1,1560.2,53.9,-53.9,0.0,2.8,0.25,-0.25,0.0,0.16,0.06,-0.06,0.0,,,,,5.5,1.0,-1.0,0.0,Msini,,,,,,,,,0,0,0,0,01h50m06.33s,27.526375,-54d27m53.9s,-54.464962,168.63,17.35,-17.35,0.0,155.82,0.64,-0.64,0.0,7.88,,0.0,V (Johnson),7.561,,0.0,4670.0,100.0,-100.0,0.0,1.17,0.28,-0.28,0.0,7.83,1.02,-1.02,0.0,2016-03-17,Multiple Observatories,-1.0,False,False,False
1006,HIP 91258 b,150.0,34643.293419999995 Earths,8.646,2013,Gas Giant,0.06 AU,HIP 91258,b,hip 91258 b,Radial Velocity,0,1,5.0505,0.0015,-0.0015,0.0,0.06,0.0,0.0,0.0,0.02,0.01,-0.01,0.0,,,,,1.09,0.21,-0.21,0.0,Msini,,,,,,,,,0,0,0,0,18h36m53.15s,279.221466,+61d42m09.0s,61.702503,45.95,0.07,-0.07,0.0,45.95,0.07,-0.07,0.0,8.646,0.015,0.0,V (Johnson),8.45,,0.0,5519.0,70.0,-70.0,0.0,0.97,0.28,-0.28,0.0,0.89,0.03,-0.03,0.0,2018-09-06,Haute-Provence Observatory,-1.0,False,False,False
1007,HIP 97233 b,335.0,6356.567599999999 Earths,7.34,2014,Gas Giant,2.55 AU,HIP 97233,b,hip 97233 b,Radial Velocity,0,1,1058.8,6.7,-6.7,0.0,2.55,0.05,-0.05,0.0,0.61,0.03,-0.03,0.0,,,,,20.0,0.4,-0.4,0.0,Msini,,,,,,,,,0,0,0,0,19h45m41.27s,296.421967,-00d41m47.9s,-0.696645,102.58,0.41,-0.41,0.0,102.58,0.41,-0.41,0.0,7.34,,0.0,V (Johnson),7.07,,0.0,5020.0,100.0,-100.0,0.0,1.93,0.11,-0.11,0.0,5.34,0.55,-0.55,0.0,2014-10-03,Multiple Observatories,-1.0,False,False,False
1008,HN Pegasi b,59.0,69918111.83105999 Earths,5.95,2006,Gas Giant,773.0 AU,HN Peg,b,hn peg b,Imaging,0,1,,,,,773.0,13.0,-13.0,0.0,,,,,,,,,21.9987,9.42803,-9.42803,0.0,Mass,1.051,0.136,-0.058,0.0,,,,,0,0,0,0,21h44m31.33s,326.130554,+14d46m19.0s,14.771939,18.13,0.02,-0.02,0.0,18.13,0.02,-0.02,0.0,5.95,0.02,0.0,V (Johnson),5.811,,0.0,5974.0,,,0.0,1.1,,,0.0,1.04,,,0.0,2014-05-14,Spitzer Space Telescope,17242664476.02105,False,False,False
1009,HR 2562 b,111.0,9534.8514 Earths,6.11,2016,Gas Giant,20.3 AU,HR 2562,b,hr 2562 b,Imaging,0,1,,,,,20.3,0.3,-0.3,0.0,,,,,,,,,30.0,15.0,-15.0,0.0,Mass,1.11,0.11,-0.11,0.0,,,,,0,0,0,1,06h50m01.01s,102.504227,-60d14m56.9s,-60.249146,34.04,0.05,-0.05,0.0,34.04,0.05,-0.05,0.0,6.11,,0.0,V (Johnson),5.989,,0.0,,,,,1.3,,,0.0,,,,,2016-09-08,Gemini Observatory,2108084.860710684,False,False,False
1010,HR 5183 b,103.0,102658.56674 Earths,6.3,2019,Gas Giant,18.0 AU,HR 5183,b,hr 5183 b,Radial Velocity,0,1,27000.0,16000.0,-8000.0,0.0,18.0,6.0,-4.0,0.0,0.84,0.04,-0.04,0.0,,,,,3.23,0.15,-0.14,0.0,Msini,,,,,,,,,0,0,0,1,13h46m57.12s,206.738007,+06d21m01.4s,6.350375,31.49,0.04,-0.04,0.0,31.49,0.04,-0.04,0.0,6.3,,0.0,V (Johnson),6.169,,0.0,5794.0,100.0,-100.0,0.0,1.07,0.04,-0.04,0.0,1.53,0.06,-0.05,0.0,2019-09-26,Multiple Observatories,-1.0,False,False,False
1011,HR 810 b,57.0,72147.04226 Earths,5.41,1999,Gas Giant,0.92 AU,HR 810,b,hr 810 b,Radial Velocity,0,1,302.79999,2.3,-2.3,0.0,0.92,0.02,-0.02,0.0,0.14,0.13,-0.13,0.0,,,,,2.27,0.25,-0.25,0.0,Msini,,,,,,,,,0,0,0,0,02h42m33.47s,40.639442,-50d48m01.1s,-50.800293,17.33,0.02,-0.02,0.0,17.33,0.02,-0.02,0.0,5.41,,0.0,V (Johnson),5.224,,0.0,6167.0,24.0,-24.0,0.0,1.34,0.13,-0.13,0.0,1.13,0.02,-0.02,0.0,2018-09-06,La Silla Observatory,-1.0,False,True,False
1012,HR 858 b,104.0,5 Earths,6.4,2019,Super Earth,0.048 AU,HR 858,b,hr 858 b,Transit,0,3,3.58599,0.00015,-0.00015,0.0,0.048,0.001,-0.0011,0.0,0.3,,,1.0,85.5,1.5,-0.5,0.0,,,,,,0.186,0.006,-0.006,0.0,,,,,0,0,0,0,02h51m56.25s,42.98436,-30d48m52.3s,-30.81452,31.99,0.07,-0.07,0.0,31.99,0.07,-0.07,0.0,6.4,,0.0,V (Johnson),6.248,,0.0,6201.0,50.0,-50.0,0.0,1.15,0.07,-0.08,0.0,1.31,0.02,-0.02,0.0,2019-07-25,Transiting Exoplanet Survey Satellite (TESS),39369.89294503788,True,False,False
1013,HR 858 c,104.0,442 Earths,6.4,2019,Super Earth,0.0674 AU,HR 858,c,hr 858 c,Transit,0,3,5.97293,0.0006,-0.00053,0.0,0.0674,0.0014,-0.0016,0.0,0.19,,,1.0,86.23,0.26,-0.26,0.0,,,,,,0.173,0.006,-0.006,0.0,,,,,0,0,0,0,02h51m56.25s,42.98436,-30d48m52.3s,-30.81452,31.99,0.07,-0.07,0.0,31.99,0.07,-0.07,0.0,6.4,,0.0,V (Johnson),6.248,,0.0,6201.0,50.0,-50.0,0.0,1.15,0.07,-0.08,0.0,1.31,0.02,-0.02,0.0,2019-07-25,Transiting Exoplanet Survey Satellite (TESS),4023001.375363872,True,False,False
1014,HR 858 d,104.0,532 Earths,6.4,2019,Neptune-like,0.1027 AU,HR 858,d,hr 858 d,Transit,0,3,11.23,0.0011,-0.001,0.0,0.1027,0.0022,-0.0025,0.0,0.28,,,1.0,87.43,0.18,-0.19,0.0,,,,,,0.193,0.008,-0.007,0.0,,,,,0,0,0,0,02h51m56.25s,42.98436,-30d48m52.3s,-30.81452,31.99,0.07,-0.07,0.0,31.99,0.07,-0.07,0.0,6.4,,0.0,V (Johnson),6.248,,0.0,6201.0,50.0,-50.0,0.0,1.15,0.07,-0.08,0.0,1.31,0.02,-0.02,0.0,2019-07-25,Transiting Exoplanet Survey Satellite (TESS),3890604.925156188,False,False,False
1015,HR 8799 b,129.0,2224.79866 Earths,5.953,2008,Gas Giant,68.0 AU,HR 8799,b,hr 8799 b,Imaging,0,4,170000.0,,,0.0,68.0,,,0.0,,,,,,,,,7.0,4.0,-2.0,0.0,Mass,1.2,0.1,-0.1,0.0,,,,,0,0,0,2,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,0.1,-0.1,0.0,41.29,0.15,-0.15,0.0,5.953,0.01,0.0,V (Johnson),5.898,,0.0,7400.0,,,0.0,,,,,,,,,2014-05-14,Gemini Observatory,420870.3587539682,False,False,False
1016,HR 8799 c,129.0,3178.2837999999997 Earths,5.953,2008,Gas Giant,38.0 AU,HR 8799,c,hr 8799 c,Imaging,0,4,69000.0,,,0.0,38.0,,,0.0,,,,,,,,,10.0,3.0,-3.0,0.0,Mass,1.2,0.1,0.0,0.0,,,,,0,0,0,2,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,0.1,-0.1,0.0,41.29,0.15,-0.15,0.0,5.953,0.01,0.0,V (Johnson),5.898,,0.0,7400.0,,,0.0,,,,,,,,,2014-05-14,Gemini Observatory,601243.369648526,False,False,False
1017,HR 8799 d,129.0,3178.2837999999997 Earths,5.953,2008,Gas Giant,24.0 AU,HR 8799,d,hr 8799 d,Imaging,0,4,37000.0,,,0.0,24.0,,,0.0,,,,,,,,,10.0,3.0,-3.0,0.0,Mass,1.2,0.1,0.0,0.0,,,,,0,0,0,2,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,0.1,-0.1,0.0,41.29,0.15,-0.15,0.0,5.953,0.01,0.0,V (Johnson),5.898,,0.0,7400.0,,,0.0,,,,,,,,,2014-05-14,W. M. Keck Observatory,601243.369648526,False,False,False
1018,HR 8799 e,129.0,3178.2837999999997 Earths,5.953,2010,Gas Giant,16.4 AU,HR 8799,e,hr 8799 e,Imaging,0,4,,,,,16.4,2.1,-1.1,0.0,0.15,0.08,-0.08,0.0,25.0,8.0,-8.0,0.0,10.0,7.0,-4.0,0.0,Mass,1.17,0.13,-0.11,0.0,,,,,0,0,0,2,23h07m28.72s,346.869659,+21d08m03.3s,21.134251,39.4,0.1,-0.1,0.0,41.29,0.15,-0.15,0.0,5.953,0.01,0.0,V (Johnson),5.898,,0.0,7400.0,,,0.0,,,,,,,,,2019-06-27,W. M. Keck Observatory,632471.6577499288,False,False,False
1019,HU Aquarii AB b,627.0,18751.87442 Earths,16.472,2011,Gas Giant,3.6 AU,HU Aqr,b,hu aqr ab b,Eclipse Timing Variations,1,2,2390.0,4.0,-4.0,0.0,3.6,0.8,-0.8,0.0,0.0,,,0.0,90.0,,,0.0,5.9,0.6,-0.6,0.0,Msin(i)/sin(i),,,,,,,,,0,0,0,1,21h07m58.19s,316.99245,-05d17m40.5s,-5.294575,192.2,2.33,-2.33,0.0,192.2,2.33,-2.33,0.0,,,,,16.472,,0.0,,,,,0.88,,,0.0,,,,,2019-10-24,Yunnan Astronomical Observatory,-1.0,False,False,False
1020,HU Aquarii AB c,627.0,14302.2771 Earths,16.472,2011,Gas Giant,5.4 AU,HU Aqr,c,hu aqr ab c,Eclipse Timing Variations,1,2,4368.0,515.0,-515.0,0.0,5.4,0.9,-0.9,0.0,0.51,0.15,-0.15,0.0,90.0,,,0.0,4.5,0.5,-0.5,0.0,Msin(i)/sin(i),,,,,,,,,0,0,0,1,21h07m58.19s,316.99245,-05d17m40.5s,-5.294575,192.2,2.33,-2.33,0.0,192.2,2.33,-2.33,0.0,,,,,16.472,,0.0,,,,,0.88,,,0.0,,,,,2019-10-24,Yunnan Astronomical Observatory,-1.0,False,False,False
1021,HW Virginis b,590.0,460287959.11064 Earths,10.692,2012,Gas Giant,4.69 AU,HW Vir,b,hw vir b,Eclipse Timing Variations,0,1,4640.0,70.0,-70.0,0.0,4.69,0.06,-0.06,0.0,0.4,0.1,-0.1,0.0,80.9,,,0.0,14.48228,1.01275,-1.01275,0.0,Msin(i)/sin(i),,,,,,,,,0,0,0,0,12h44m20.24s,191.08432,-08d40m16.8s,-8.671344,181.0,20.0,-20.0,0.0,172.5,2.53,-2.53,0.0,10.692,0.069,0.0,V (Johnson),10.61,,0.0,,,,,0.48,0.01,-0.01,0.0,,,,,2019-10-24,McDonald Observatory,-1.0,False,False,False
1022,IC 4651 9122 b,2869.0,20023.18794 Earths,10.534,2018,Gas Giant,2.038 AU,IC 4651 9122,b,ic 4651 9122 b,Radial Velocity,0,1,734.0,8.1,-8.1,0.0,2.038,0.039,-0.039,0.0,0.18,0.09,-0.09,0.0,,,,,6.3,0.5,-0.5,0.0,Msini,,,,,,,,,0,0,0,0,17h24m50.07s,261.208618,-49d56m56.1s,-49.948917,879.38,33.18,-33.18,0.0,879.38,33.18,-33.18,0.0,,,,,10.534,,0.0,,,,,2.1,,,0.0,,,,,2018-07-19,La Silla Observatory,-1.0,False,False,False
1023,Iota Draconis b,103.0,280324.63116 Earths,3.29,2002,Gas Giant,1.275 AU,iot Dra,b,iot dra b,Radial Velocity,0,1,511.098,0.089,-0.089,0.0,1.275,0.074,-0.074,0.0,0.7124,0.0039,-0.0039,0.0,,,,,8.82,0.72,-0.72,0.0,Msini,,,,,,,,,0,0,0,0,15h24m55.77s,231.232391,+58d57m57.8s,58.966064,31.67,0.3,-0.3,0.0,31.67,0.3,-0.3,0.0,3.29,,0.0,V (Johnson),2.847,,0.0,4530.0,100.0,-100.0,0.0,1.05,,,0.0,,,,,2014-07-23,Lick Observatory,-1.0,False,True,False
