,name,distance,mass,luminocity,discovery_date,planet_type,orbital_radius,planet_hoststar_name,planet_letter,planet_name,planet_discovery_method,planet_existance_in_question,num_of_planets_in_system,planet_orbital_period,planet_orbital_period_error1,planet_orbital_period_error2,planet_minimum_orbital_period,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,planet_maximum_limit_orbtial_period,planet_eccentricity,planet_eccentricity_error1,planet_eccentricity_error2,planet_eccentricity_limit,planet_orbital_inclination,planet_orbital_inclination_error1,planet_orbital_inclination_error2,planet_min_orbital_inclination,mass_in_kg,mass_in_unit_error1,mass_in_unit_error2,minimum_mass_in_unit,mass_unit,planet_radius_in_unit,planet_radius_in_unit_error1,planet_radius_in_unit_error2,minimum_planet_radius_in_unit,planet_density,planet_density_error1,planet_density_error2,minimum_planet_density,planet_orbital_inclination_compared_to_others,kepler_telescope_data,k2_telescope_data,num_of_notes,right_ascension_east_n_west_base60,right_ascension_east_n_west_base10,right_ascension_north_n_south_base60,right_ascension_north_n_south_base10,steller_distance,steller_distance_error1,steller_distance_error2,minimum_steller_distance,dist_from_gaia_paralax,dist_from_gaia_paralax_error1,dist_from_gaia_paralax_error2,minimum_dist_from_gaia_paralax,steller_magnitude,steller_magnitude_error,minimum_steller_magnitude,steller_optical_magnitude_band,photometric_visibility,photometric_visibility_error,photometric_visibility_magnitude,temperature_of_hoststar,temperature_of_hoststar_error1,temperature_of_hoststar_error2,minimum_temperature_of_hoststar,mass_of_hoststar,mass_of_hoststar_error1,mass_of_hoststar_error2,minimum_mass_of_hoststar,mass_of_hoststar.1,radius_of_hoststar_error1,radius_of_hoststar_error2,minimum_radius_of_hoststar,date_of_last_update,observer,gravity,suitable_type,goldilock,suitable_speed
2545,Kepler-23 d,2793.0,176 Earths,13.401,2014,Super Earth,0.124 AU,Kepler-239,c,kepler-239 c,Transit,0,2,56.228098,0.00058,-0.00058,0.0,0.268,,,0.0,,,,,,,,,,,,,,0.224,0.037,-0.037,0.0,,,,,0,1,0,1,19h36m48.51s,294.202137,+40d39m48.3s,40.663406,660.07,13.72,-13.72,0.0,660.07,13.72,-13.72,0.0,15.208,,0.0,Kepler-band,15.233,,0.0,4914.0,100.0,-100.0,0.0,,,,,0.76,0.04,-0.04,0.0,2014-05-14,Kepler,955513.3277800916,True,False,False
2546,Kepler-240 b,2488.0,245 Earths,15.662,2014,Super Earth,0.048 AU,Kepler-24,b,kepler-24 b,Transit,0,4,8.1453,,,0.0,0.08,,,0.0,,,,,,,,,1.6,,,1.0,Mass,0.214,,,0.0,,,,,1,1,0,1,19h21m39.18s,290.413267,+38d20m37.5s,38.343754,1195.99,34.01,-34.01,0.0,1195.99,34.01,-34.01,0.0,14.925,,0.0,Kepler-band,14.923,,0.0,5897.0,219.0,-219.0,0.0,,,,,1.29,0.29,-0.29,0.0,2014-05-14,Kepler,1457332.5181238535,True,False,False
2547,Kepler-240 c,2488.0,102340.73835999999 Earths,15.662,2014,Super Earth,0.074 AU,Kepler-24,c,kepler-24 c,Transit,0,4,12.3335,,,0.0,0.106,,,0.0,,,,,,,,,1.6,,,1.0,Mass,0.25,,,0.0,,,,,1,1,0,1,19h21m39.18s,290.413267,+38d20m37.5s,38.343754,1195.99,34.01,-34.01,0.0,1195.99,34.01,-34.01,0.0,14.925,,0.0,Kepler-band,14.923,,0.0,5897.0,219.0,-219.0,0.0,,,,,1.29,0.29,-0.29,0.0,2014-05-14,Kepler,446055241.0218056,True,False,False
2548,Kepler-241 b,1989.0,604 Earths,15.387,2014,Neptune-like,0.094 AU,Kepler-24,d,kepler-24 d,Transit,0,4,4.244384,5.3e-05,-5.3e-05,0.0,0.051,,,0.0,,,,,,,,,,,,,,0.149,0.035,-0.035,0.0,,,,,0,1,0,1,19h21m39.18s,290.413267,+38d20m37.5s,38.343754,1195.99,34.01,-34.01,0.0,1195.99,34.01,-34.01,0.0,14.925,,0.0,Kepler-band,14.923,,0.0,5897.0,219.0,-219.0,0.0,,,,,1.29,0.29,-0.29,0.0,2014-05-14,Kepler,7411131.508141295,False,False,False
2549,Kepler-241 c,1989.0,713 Earths,15.387,2014,Neptune-like,0.189 AU,Kepler-24,e,kepler-24 e,Transit,0,4,18.998355,0.000157,-0.000157,0.0,0.138,,,0.0,,,,,,,,,,,,,,0.248,0.057,-0.057,0.0,,,,,0,1,0,1,19h21m39.18s,290.413267,+38d20m37.5s,38.343754,1195.99,34.01,-34.01,0.0,1195.99,34.01,-34.01,0.0,14.925,,0.0,Kepler-band,14.923,,0.0,5897.0,219.0,-219.0,0.0,,,,,1.29,0.29,-0.29,0.0,2014-05-14,Kepler,3157957.537853851,False,False,False
2550,Kepler-242 b,1992.0,732 Earths,15.349,2014,Neptune-like,0.075 AU,Kepler-240,b,kepler-240 b,Transit,0,2,4.144495,2.6e-05,-2.6e-05,0.0,0.048,,,0.0,,,,,,,,,,,,,,0.122,0.05,-0.05,0.0,,,,,0,1,0,1,19h24m38.11s,291.158774,+40d45m00.9s,40.750263,762.74,20.31,-20.31,0.0,762.74,20.31,-20.31,0.0,15.66,,0.0,Kepler-band,15.662,,0.0,4985.0,200.0,-200.0,0.0,,,,,0.74,0.3,-0.3,0.0,2014-05-14,Kepler,13397122.783539644,False,False,False
2551,Kepler-242 c,1992.0,466 Earths,15.349,2014,Super Earth,0.109 AU,Kepler-240,c,kepler-240 c,Transit,0,2,7.953528,2.5e-05,-2.5e-05,0.0,0.074,,,0.0,,,,,,,,,,,,,,0.196,0.079,-0.079,0.0,,,,,0,1,0,1,19h24m38.11s,291.158774,+40d45m00.9s,40.750263,762.74,20.31,-20.31,0.0,762.74,20.31,-20.31,0.0,15.66,,0.0,Kepler-band,15.662,,0.0,4985.0,200.0,-200.0,0.0,,,,,0.74,0.3,-0.3,0.0,2014-05-14,Kepler,3304409.7272395007,True,False,False
2552,Kepler-243 b,2309.0,657 Earths,15.057,2014,Neptune-like,0.062 AU,Kepler-241,b,kepler-241 b,Transit,0,2,12.718092,3.5e-05,-3.5e-05,0.0,0.094,,,0.0,,,,,,,,,,,,,,0.208,0.092,-0.092,0.0,,,,,0,1,0,1,19h31m39.15s,292.913118,+41d03m39.3s,41.060921,609.86,40.44,-40.44,0.0,609.86,40.44,-40.44,0.0,15.389,,0.0,Kepler-band,15.387,,0.0,4699.0,200.0,-200.0,0.0,,,,,0.67,0.29,-0.29,0.0,2014-05-14,Kepler,4136745.6376041537,False,False,False
2553,Kepler-243 c,2309.0,462 Earths,15.057,2014,Super Earth,0.142 AU,Kepler-241,c,kepler-241 c,Transit,0,2,36.065978,0.000133,-0.000133,0.0,0.189,,,0.0,,,,,,,,,,,,,,0.229,0.099,-0.099,0.0,,,,,0,1,0,1,19h31m39.15s,292.913118,+41d03m39.3s,41.060921,609.86,40.44,-40.44,0.0,609.86,40.44,-40.44,0.0,15.389,,0.0,Kepler-band,15.387,,0.0,4699.0,200.0,-200.0,0.0,,,,,0.67,0.29,-0.29,0.0,2014-05-14,Kepler,2399888.854685673,True,False,False
2554,Kepler-244 b,3483.0,805 Earths,15.545,2014,Neptune-like,0.05 AU,Kepler-242,b,kepler-242 b,Transit,0,2,8.20395,2e-05,-2e-05,0.0,0.075,,,0.0,,,,,,,,,,,,,,0.233,0.143,-0.143,0.0,,,,,0,1,0,1,19h06m15.77s,286.565695,+41d48m30.3s,41.808403,610.6,11.44,-11.44,0.0,610.6,11.44,-11.44,0.0,15.376,,0.0,Kepler-band,15.349,,0.0,5020.0,200.0,-200.0,0.0,,,,,0.85,0.52,-0.52,0.0,2014-05-14,Kepler,4039281.8329416905,False,False,False
